Year,State,State Code,County,County Code,Multiple Cause of death,Multiple Cause of death Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate
2013,Texas,48,"El Paso County, TX",48141,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,827718,Unreliable
2013,Texas,48,"El Paso County, TX",48141,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,827718,3.3
2013,Texas,48,"Galveston County, TX",48167,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,306782,Unreliable
2013,Texas,48,"Grayson County, TX",48181,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,122353,Unreliable
2013,Texas,48,"Harris County, TX",48201,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,50,4336853,1.2
2013,Texas,48,"Harris County, TX",48201,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,136,4336853,3.1
2013,Texas,48,"Harris County, TX",48201,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,13,4336853,Unreliable
2013,Texas,48,"Harris County, TX",48201,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,4336853,0.5
2013,Texas,48,"Harris County, TX",48201,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,4336853,0.6
2013,Texas,48,"Harris County, TX",48201,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,78,4336853,1.8
2013,Texas,48,"Harris County, TX",48201,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,25,4336853,0.6
2013,Texas,48,"Hidalgo County, TX",48215,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,815996,Unreliable
2013,Texas,48,"Jefferson County, TX",48245,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,252358,Unreliable
2013,Texas,48,"Jefferson County, TX",48245,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,252358,Unreliable
2013,Texas,48,"Lubbock County, TX",48303,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,289324,Unreliable
2013,Texas,48,"Midland County, TX",48329,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,151468,Unreliable
2013,Texas,48,"Montgomery County, TX",48339,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,499137,Unreliable
2013,Texas,48,"Nueces County, TX",48355,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,352107,Unreliable
2013,Texas,48,"Nueces County, TX",48355,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,352107,Unreliable
2013,Texas,48,"Nueces County, TX",48355,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,352107,Unreliable
2013,Texas,48,"Tarrant County, TX",48439,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,1911541,1.6
2013,Texas,48,"Tarrant County, TX",48439,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,1911541,Unreliable
2013,Texas,48,"Tarrant County, TX",48439,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,43,1911541,2.2
2013,Texas,48,"Travis County, TX",48453,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,1120954,2.2
2013,Texas,48,"Travis County, TX",48453,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,1120954,Unreliable
2013,Texas,48,"Travis County, TX",48453,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,84,1120954,7.5
2013,Texas,48,"Travis County, TX",48453,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,14,1120954,Unreliable
2013,Texas,48,"Victoria County, TX",48469,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,90028,Unreliable
2013,Texas,48,"Webb County, TX",48479,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,262495,Unreliable
2013,Texas,48,"Webb County, TX",48479,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,262495,Unreliable
2013,Texas,48,"Wichita County, TX",48485,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,132047,Unreliable
2013,Texas,48,"Williamson County, TX",48491,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,471014,5.1
2013,Utah,49,"Davis County, UT",49011,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,322094,Unreliable
2013,Utah,49,"Davis County, UT",49011,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,322094,Unreliable
2013,Utah,49,"Davis County, UT",49011,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11,322094,Unreliable
2013,Utah,49,"Salt Lake County, UT",49035,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,1079721,3.8
2013,Utah,49,"Salt Lake County, UT",49035,Heroin,T40.1,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19,1079721,Unreliable
2013,Utah,49,"Salt Lake County, UT",49035,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,96,1079721,8.9
2013,Utah,49,"Salt Lake County, UT",49035,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,16,1079721,Unreliable
2013,Utah,49,"Salt Lake County, UT",49035,Other opioids,T40.2,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,49,1079721,4.5
2013,Utah,49,"Salt Lake County, UT",49035,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,1079721,2.3
2013,Utah,49,"Salt Lake County, UT",49035,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,1079721,Unreliable
2013,Utah,49,"Salt Lake County, UT",49035,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,109,1079721,10.1
2013,Utah,49,"Salt Lake County, UT",49035,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,29,1079721,2.7
2013,Utah,49,"Salt Lake County, UT",49035,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,50,1079721,4.6
2013,Utah,49,"Utah County, UT",49049,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,551891,Unreliable
2013,Utah,49,"Utah County, UT",49049,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,551891,7.4
2013,Utah,49,"Utah County, UT",49049,Other opioids,T40.2,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13,551891,Unreliable
2013,Utah,49,"Utah County, UT",49049,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,551891,6.2
2013,Utah,49,"Utah County, UT",49049,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14,551891,Unreliable
2013,Utah,49,"Washington County, UT",49053,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,147800,Unreliable
2013,Utah,49,"Washington County, UT",49053,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,147800,Unreliable
2013,Utah,49,"Weber County, UT",49057,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,238519,Unreliable
2013,Utah,49,"Weber County, UT",49057,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,238519,Unreliable
2013,Utah,49,"Weber County, UT",49057,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,238519,Unreliable
2013,Virginia,51,"Chesterfield County, VA",51041,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,327745,Unreliable
2013,Virginia,51,"Fairfax County, VA",51059,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,1130924,Unreliable
2013,Virginia,51,"Fairfax County, VA",51059,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,1130924,Unreliable
2013,Virginia,51,"Fairfax County, VA",51059,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,1130924,Unreliable
2013,Virginia,51,"Henrico County, VA",51087,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,318611,Unreliable
2013,Virginia,51,"Prince William County, VA",51153,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,438580,Unreliable
2013,Virginia,51,"Chesapeake city, VA",51550,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,230571,Unreliable
2013,Virginia,51,"Norfolk city, VA",51710,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,246139,Unreliable
2013,Virginia,51,"Norfolk city, VA",51710,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,246139,Unreliable
2013,Virginia,51,"Richmond city, VA",51760,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,214114,Unreliable
2013,Virginia,51,"Virginia Beach city, VA",51810,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,448479,6.7
2013,Virginia,51,"Virginia Beach city, VA",51810,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,448479,Unreliable
2013,Washington,53,"Benton County, WA",53005,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,184486,Unreliable
2013,Washington,53,"Clark County, WA",53011,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,443817,Unreliable
2013,Washington,53,"Clark County, WA",53011,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,443817,Unreliable
2013,Washington,53,"Clark County, WA",53011,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,443817,Unreliable
2013,Washington,53,"Clark County, WA",53011,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,443817,Unreliable
2013,Washington,53,"King County, WA",53033,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,86,2044449,4.2
2013,Washington,53,"King County, WA",53033,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,63,2044449,3.1
2013,Washington,53,"King County, WA",53033,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,12,2044449,Unreliable
2013,Washington,53,"King County, WA",53033,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,45,2044449,2.2
2013,Washington,53,"King County, WA",53033,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,2044449,Unreliable
2013,Washington,53,"King County, WA",53033,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,94,2044449,4.6
2013,Washington,53,"King County, WA",53033,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,206,2044449,10.1
2013,Washington,53,"King County, WA",53033,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,29,2044449,1.4
2013,Washington,53,"Pierce County, WA",53053,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,819743,3.3
2013,Washington,53,"Pierce County, WA",53053,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,819743,4.1
2013,Washington,53,"Pierce County, WA",53053,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,819743,Unreliable
2013,Washington,53,"Pierce County, WA",53053,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,819743,Unreliable
2013,Washington,53,"Pierce County, WA",53053,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,819743,3.9
2013,Washington,53,"Skagit County, WA",53057,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,118837,Unreliable
2013,Washington,53,"Snohomish County, WA",53061,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,745913,4.3
2013,Washington,53,"Snohomish County, WA",53061,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,745913,3.5
2013,Washington,53,"Snohomish County, WA",53061,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,745913,4.7
2013,Washington,53,"Snohomish County, WA",53061,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,745913,Unreliable
2013,Washington,53,"Snohomish County, WA",53061,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,104,745913,13.9
2013,Washington,53,"Snohomish County, WA",53061,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,12,745913,Unreliable
2013,Washington,53,"Spokane County, WA",53063,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,479398,6
2013,Washington,53,"Spokane County, WA",53063,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,10,479398,Unreliable
2013,Washington,53,"Thurston County, WA",53067,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,262388,Unreliable
2013,Washington,53,"Thurston County, WA",53067,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,262388,7.6
2013,Washington,53,"Yakima County, WA",53077,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,247044,Unreliable
2013,West Virginia,54,"Berkeley County, WV",54003,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,108706,Unreliable
2013,West Virginia,54,"Berkeley County, WV",54003,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,108706,Unreliable
2013,West Virginia,54,"Boone County, WV",54005,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,24224,Unreliable
2013,West Virginia,54,"Cabell County, WV",54011,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,97133,28.8
2013,West Virginia,54,"Cabell County, WV",54011,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,97133,24.7
2013,West Virginia,54,"Fayette County, WV",54019,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,45599,Unreliable
2013,West Virginia,54,"Kanawha County, WV",54039,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,191275,Unreliable
2013,West Virginia,54,"Kanawha County, WV",54039,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,191275,18.8
2013,West Virginia,54,"Logan County, WV",54045,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,35987,Unreliable
2013,West Virginia,54,"McDowell County, WV",54047,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,20876,Unreliable
2013,West Virginia,54,"Mercer County, WV",54055,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,61984,Unreliable
2013,West Virginia,54,"Mingo County, WV",54059,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,25900,Unreliable
2013,West Virginia,54,"Raleigh County, WV",54081,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,78833,38.1
2013,West Virginia,54,"Wayne County, WV",54099,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,41437,Unreliable
2013,West Virginia,54,"Wyoming County, WV",54109,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,23019,Unreliable
2013,Wisconsin,55,"Brown County, WI",55009,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,254586,Unreliable
2013,Wisconsin,55,"Dane County, WI",55025,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,38,509939,7.5
2013,Wisconsin,55,"Dane County, WI",55025,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,509939,6.3
2013,Wisconsin,55,"Dane County, WI",55025,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,509939,Unreliable
2013,Wisconsin,55,"Kenosha County, WI",55059,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,167757,Unreliable
2013,Wisconsin,55,"Kenosha County, WI",55059,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,167757,Unreliable
2013,Wisconsin,55,"Kenosha County, WI",55059,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,167757,Unreliable
2013,Wisconsin,55,"Milwaukee County, WI",55079,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,64,956023,6.7
2013,Wisconsin,55,"Milwaukee County, WI",55079,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,88,956023,9.2
2013,Wisconsin,55,"Milwaukee County, WI",55079,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,956023,2.3
2013,Wisconsin,55,"Milwaukee County, WI",55079,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,956023,2.1
2013,Wisconsin,55,"Milwaukee County, WI",55079,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,129,956023,13.5
2013,Wisconsin,55,"Racine County, WI",55101,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,195041,Unreliable
2013,Wisconsin,55,"Racine County, WI",55101,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,195041,Unreliable
2013,Wisconsin,55,"Rock County, WI",55105,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,160739,Unreliable
2013,Wisconsin,55,"Rock County, WI",55105,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,160739,Unreliable
2013,Wisconsin,55,"Washington County, WI",55131,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,132739,Unreliable
2013,Wisconsin,55,"Waukesha County, WI",55133,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,393843,Unreliable
2013,Wisconsin,55,"Waukesha County, WI",55133,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,393843,Unreliable
2013,Wisconsin,55,"Waukesha County, WI",55133,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,393843,Unreliable
2013,Wyoming,56,"Laramie County, WY",56021,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,95809,Unreliable
2013,Wyoming,56,"Natrona County, WY",56025,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,80973,Unreliable
2014,Alabama,1,"Baldwin County, AL",1003,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,200111,Unreliable
2014,Alabama,1,"Calhoun County, AL",1015,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,115916,Unreliable
2014,Alabama,1,"Cullman County, AL",1043,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,81289,27.1
2014,Alabama,1,"Etowah County, AL",1055,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,103531,Unreliable
2014,Alabama,1,"Houston County, AL",1069,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,104193,Unreliable
2014,Alabama,1,"Jefferson County, AL",1073,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,88,660793,13.3
2014,Alabama,1,"Jefferson County, AL",1073,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,39,660793,5.9
2014,Alabama,1,"Jefferson County, AL",1073,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,660793,Unreliable
2014,Alabama,1,"Jefferson County, AL",1073,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,660793,3.5
2014,Alabama,1,"Jefferson County, AL",1073,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,660793,5.4
2014,Alabama,1,"Madison County, AL",1089,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,350299,Unreliable
2014,Alabama,1,"Marshall County, AL",1095,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,94636,Unreliable
2014,Alabama,1,"Mobile County, AL",1097,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,415123,Unreliable
2014,Alabama,1,"Mobile County, AL",1097,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,49,415123,11.8
2014,Alabama,1,"Montgomery County, AL",1101,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,226189,Unreliable
2014,Alabama,1,"St. Clair County, AL",1115,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,86697,Unreliable
2014,Alabama,1,"Shelby County, AL",1117,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,206655,Unreliable
2014,Alabama,1,"Shelby County, AL",1117,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,206655,12.1
2014,Alabama,1,"Tuscaloosa County, AL",1125,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,202212,Unreliable
2014,Alabama,1,"Walker County, AL",1127,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,65471,Unreliable
2014,Alaska,2,"Anchorage Borough, AK",2020,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,301010,Unreliable
2014,Alaska,2,"Anchorage Borough, AK",2020,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,301010,Unreliable
2014,Alaska,2,"Anchorage Borough, AK",2020,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,301010,9
2014,Alaska,2,"Matanuska-Susitna Borough, AK",2170,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,97882,Unreliable
2014,Arizona,4,"Cochise County, AZ",4003,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,127448,Unreliable
2014,Arizona,4,"Maricopa County, AZ",4013,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,112,4087191,2.7
2014,Arizona,4,"Maricopa County, AZ",4013,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,106,4087191,2.6
2014,Arizona,4,"Maricopa County, AZ",4013,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,23,4087191,0.6
2014,Arizona,4,"Maricopa County, AZ",4013,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,4087191,0.7
2014,Arizona,4,"Maricopa County, AZ",4013,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,4087191,0.5
2014,Arizona,4,"Maricopa County, AZ",4013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,304,4087191,7.4
2014,Arizona,4,"Maricopa County, AZ",4013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Suicide (X60-X64),D2,78,4087191,1.9
2014,Arizona,4,"Maricopa County, AZ",4013,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,51,4087191,1.2
2014,Arizona,4,"Mohave County, AZ",4015,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,203361,Unreliable
2014,Arizona,4,"Mohave County, AZ",4015,Other and unspecified narcotics,T40.6,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,203361,Unreliable
2014,Arizona,4,"Mohave County, AZ",4015,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,203361,10.3
2014,Arizona,4,"Navajo County, AZ",4017,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,108101,Unreliable
2014,Arizona,4,"Pima County, AZ",4019,Heroin,T40.1,Drug poisonings (overdose) Unintentional (X40-X44),D1,64,1004516,6.4
2014,Arizona,4,"Pima County, AZ",4019,Other opioids,T40.2,Drug poisonings (overdose) Unintentional (X40-X44),D1,60,1004516,6
2014,Arizona,4,"Pima County, AZ",4019,Other opioids,T40.2,Drug poisonings (overdose) Suicide (X60-X64),D2,10,1004516,Unreliable
2014,Arizona,4,"Pima County, AZ",4019,Methadone,T40.3,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,1004516,Unreliable
2014,Arizona,4,"Pima County, AZ",4019,Other synthetic narcotics,T40.4,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,1004516,Unreliable
2014,Arizona,4,"Pima County, AZ",4019,"Other and unspecified drugs, medicaments and biological substances",T50.9,Drug poisonings (overdose) Unintentional (X40-X44),D1,106,1004516,10.6
