"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"UCD - Drug/Alcohol Induced Cause"	"UCD - Drug/Alcohol Induced Cause Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"California"	"06"	"San Diego County, CA"	"06073"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other opioids"	"T40.2"	24	3263431	0.7	0.5	1.1	0.2	0.7	0.4	1.0	0.1	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	3263431	Unreliable	0.3	0.9	0.1	Unreliable	0.3	0.9	0.1	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	70	3299521	2.1	1.7	2.7	0.3	2.0	1.6	2.6	0.2	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	104	3299521	3.2	2.5	3.8	0.3	2.9	2.3	3.4	0.3	0.1%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	27	3299521	0.8	0.5	1.2	0.2	0.7	0.5	1.0	0.1	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other synthetic narcotics"	"T40.4"	40	3299521	1.2	0.9	1.7	0.2	1.1	0.8	1.6	0.2	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	13	3299521	Unreliable	0.2	0.7	0.1	Unreliable	0.2	0.6	0.1	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	72	3299521	2.2	1.7	2.7	0.3	2.0	1.6	2.6	0.2	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other opioids"	"T40.2"	24	3299521	0.7	0.5	1.1	0.1	0.7	0.4	1.0	0.1	0.0%
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	23	3299521	0.7	0.4	1.0	0.1	0.7	0.4	1.0	0.1	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	11	837442	Unreliable	0.7	2.4	0.4	Unreliable	0.6	2.1	0.4	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	41	837442	4.9	3.5	6.6	0.8	4.2	3.0	5.8	0.7	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	20	837442	2.4	1.5	3.7	0.5	2.1	1.2	3.2	0.5	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	82	837442	9.8	7.8	12.2	1.1	8.4	6.7	10.5	0.9	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	11	837442	Unreliable	0.7	2.4	0.4	Unreliable	0.6	2.2	0.4	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	22	852469	2.6	1.6	3.9	0.6	2.1	1.3	3.3	0.5	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	46	852469	5.4	4.0	7.2	0.8	4.4	3.2	5.8	0.7	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	21	852469	2.5	1.5	3.8	0.5	2.1	1.3	3.3	0.5	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	98	852469	11.5	9.3	14.0	1.2	9.7	7.9	11.9	1.0	0.1%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	24	864816	2.8	1.8	4.1	0.6	2.4	1.5	3.5	0.5	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	34	864816	3.9	2.7	5.5	0.7	3.8	2.6	5.3	0.7	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	24	864816	2.8	1.8	4.1	0.6	2.4	1.5	3.6	0.5	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other synthetic narcotics"	"T40.4"	16	864816	Unreliable	1.1	3.0	0.5	Unreliable	0.8	2.5	0.4	0.0%
	"California"	"06"	"San Francisco County, CA"	"06075"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	118	864816	13.6	11.2	16.1	1.3	12.3	10.0	14.6	1.2	0.1%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	39	704379	5.5	3.9	7.6	0.9	5.6	4.0	7.7	0.9	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	18	704379	Unreliable	1.5	4.0	0.6	Unreliable	1.5	3.9	0.6	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	38	704379	5.4	3.8	7.4	0.9	5.4	3.8	7.4	0.9	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	40	715597	5.6	4.0	7.6	0.9	5.6	4.0	7.7	0.9	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	25	715597	3.5	2.3	5.2	0.7	3.5	2.2	5.2	0.7	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	69	715597	9.6	7.5	12.2	1.2	9.5	7.4	12.0	1.2	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	24	726106	3.3	2.1	4.9	0.7	3.2	2.1	4.8	0.7	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	12	726106	Unreliable	0.9	2.9	0.5	Unreliable	0.8	2.8	0.5	0.0%
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	61	726106	8.4	6.4	10.8	1.1	8.3	6.3	10.7	1.1	0.0%
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	12	276443	Unreliable	2.2	7.6	1.3	Unreliable	2.5	8.8	1.5	0.0%
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	276443	Unreliable	3.6	9.8	1.5	Unreliable	3.1	9.1	1.4	0.0%
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	16	279083	Unreliable	3.3	9.3	1.4	Unreliable	3.5	10.2	1.6	0.0%
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	14	281401	Unreliable	2.7	8.3	1.3	Unreliable	2.7	8.6	1.4	0.0%
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	31	281401	11.0	7.5	15.6	2.0	11.1	7.4	16.0	2.1	0.0%
	"California"	"06"	"San Mateo County, CA"	"06081"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	16	747373	Unreliable	1.2	3.5	0.5	Unreliable	1.1	3.2	0.5	0.0%
	"California"	"06"	"San Mateo County, CA"	"06081"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	25	747373	3.3	2.2	4.9	0.7	3.0	1.9	4.5	0.6	0.0%
	"California"	"06"	"San Mateo County, CA"	"06081"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	12	758581	Unreliable	0.8	2.8	0.5	Unreliable	0.7	2.5	0.4	0.0%
	"California"	"06"	"San Mateo County, CA"	"06081"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	28	758581	3.7	2.5	5.3	0.7	3.2	2.1	4.7	0.6	0.0%
	"California"	"06"	"San Mateo County, CA"	"06081"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	12	765135	Unreliable	0.8	2.7	0.5	Unreliable	0.7	2.6	0.4	0.0%
	"California"	"06"	"San Mateo County, CA"	"06081"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	30	765135	3.9	2.6	5.6	0.7	3.7	2.5	5.3	0.7	0.0%
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	31	435697	7.1	4.8	10.1	1.3	7.6	5.1	10.9	1.4	0.0%
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	33	440668	7.5	5.2	10.5	1.3	7.4	5.1	10.5	1.3	0.0%
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	15	444769	Unreliable	1.9	5.6	0.9	Unreliable	1.9	5.9	0.9	0.0%
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	14	444769	Unreliable	1.7	5.3	0.8	Unreliable	1.8	5.8	0.9	0.0%
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	40	444769	9.0	6.4	12.2	1.4	9.0	6.4	12.3	1.5	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	23	1862041	1.2	0.8	1.9	0.3	1.2	0.8	1.8	0.3	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	12	1862041	Unreliable	0.3	1.1	0.2	Unreliable	0.3	1.0	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	57	1862041	3.1	2.3	4.0	0.4	2.9	2.2	3.7	0.4	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	21	1862041	1.1	0.7	1.7	0.2	1.0	0.6	1.6	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	13	1894605	Unreliable	0.4	1.2	0.2	Unreliable	0.3	1.1	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	24	1894605	1.3	0.8	1.9	0.3	1.2	0.8	1.8	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	13	1894605	Unreliable	0.4	1.2	0.2	Unreliable	0.3	1.1	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	40	1894605	2.1	1.5	2.9	0.3	2.0	1.4	2.7	0.3	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2014"	"2014"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	14	1894605	Unreliable	0.4	1.2	0.2	Unreliable	0.4	1.2	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	17	1918044	Unreliable	0.5	1.4	0.2	Unreliable	0.5	1.3	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	21	1918044	1.1	0.7	1.7	0.2	1.0	0.6	1.5	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	10	1918044	Unreliable	0.3	1.0	0.2	Unreliable	0.2	0.9	0.2	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	60	1918044	3.1	2.4	4.0	0.4	2.9	2.2	3.8	0.4	0.0%
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2015"	"2015"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	10	1918044	Unreliable	0.3	1.0	0.2	Unreliable	0.3	1.0	0.2	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	12	269419	Unreliable	2.3	7.8	1.3	Unreliable	2.0	7.2	1.2	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	16	269419	Unreliable	3.4	9.6	1.5	Unreliable	3.4	9.9	1.6	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	10	271804	Unreliable	1.8	6.8	1.2	Unreliable	1.6	6.6	1.1	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Methadone"	"T40.3"	12	271804	Unreliable	2.3	7.7	1.3	Unreliable	2.2	7.8	1.3	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	17	271804	Unreliable	3.6	10.0	1.5	Unreliable	3.8	10.9	1.7	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	271804	Unreliable	3.9	10.5	1.6	Unreliable	4.1	11.2	1.7	0.0%
	"California"	"06"	"Santa Cruz County, CA"	"06087"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	11	274146	Unreliable	2.0	7.2	1.2	Unreliable	2.3	8.3	1.4	0.0%
	"California"	"06"	"Shasta County, CA"	"06089"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	13	178980	Unreliable	3.9	12.4	2.0	Unreliable	3.6	12.8	2.1	0.0%
	"California"	"06"	"Shasta County, CA"	"06089"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	40	178980	22.3	16.0	30.4	3.5	22.3	15.6	30.9	3.7	0.0%
	"California"	"06"	"Shasta County, CA"	"06089"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	13	179804	Unreliable	3.8	12.4	2.0	Unreliable	3.2	11.5	1.9	0.0%
	"California"	"06"	"Shasta County, CA"	"06089"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	28	179804	15.6	10.3	22.5	2.9	14.4	9.3	21.3	2.9	0.0%
	"California"	"06"	"Shasta County, CA"	"06089"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	179533	Unreliable	5.5	15.2	2.3	Unreliable	6.0	17.0	2.6	0.0%
	"California"	"06"	"Solano County, CA"	"06095"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	29	424788	6.8	4.6	9.8	1.3	6.2	4.1	9.1	1.2	0.0%
	"California"	"06"	"Solano County, CA"	"06095"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	11	431131	Unreliable	1.3	4.6	0.8	Unreliable	1.3	4.8	0.8	0.0%
	"California"	"06"	"Solano County, CA"	"06095"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	21	431131	4.9	3.0	7.4	1.1	4.5	2.7	6.9	1.0	0.0%
	"California"	"06"	"Solano County, CA"	"06095"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	436092	Unreliable	2.3	6.2	0.9	Unreliable	2.1	5.9	0.9	0.0%
	"California"	"06"	"Sonoma County, CA"	"06097"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	12	495025	Unreliable	1.3	4.2	0.7	Unreliable	1.1	4.0	0.7	0.0%
	"California"	"06"	"Sonoma County, CA"	"06097"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	13	500292	Unreliable	1.4	4.4	0.7	Unreliable	1.3	4.3	0.7	0.0%
	"California"	"06"	"Sonoma County, CA"	"06097"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	500292	Unreliable	2.1	5.7	0.8	Unreliable	1.8	5.0	0.8	0.0%
	"California"	"06"	"Sonoma County, CA"	"06097"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	16	502146	Unreliable	1.8	5.2	0.8	Unreliable	1.7	5.0	0.8	0.0%
	"California"	"06"	"Sonoma County, CA"	"06097"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	30	502146	6.0	4.0	8.5	1.1	5.8	3.9	8.4	1.1	0.0%
	"California"	"06"	"Stanislaus County, CA"	"06099"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	10	525491	Unreliable	0.9	3.5	0.6	Unreliable	0.9	3.3	0.6	0.0%
	"California"	"06"	"Stanislaus County, CA"	"06099"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	42	525491	8.0	5.8	10.8	1.2	8.0	5.7	10.8	1.2	0.0%
	"California"	"06"	"Stanislaus County, CA"	"06099"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	35	531997	6.6	4.6	9.1	1.1	6.7	4.6	9.4	1.1	0.0%
	"California"	"06"	"Stanislaus County, CA"	"06099"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	12	538388	Unreliable	1.2	3.9	0.6	Unreliable	1.1	3.8	0.6	0.0%
	"California"	"06"	"Stanislaus County, CA"	"06099"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	68	538388	12.6	9.8	16.0	1.5	12.9	10.0	16.4	1.6	0.0%
	"California"	"06"	"Tulare County, CA"	"06107"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	21	454143	4.6	2.9	7.1	1.0	4.9	3.0	7.5	1.1	0.0%
	"California"	"06"	"Tulare County, CA"	"06107"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified narcotics"	"T40.6"	11	458198	Unreliable	1.2	4.3	0.7	Unreliable	1.3	4.5	0.8	0.0%
	"California"	"06"	"Tulare County, CA"	"06107"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	18	458198	Unreliable	2.3	6.2	0.9	Unreliable	2.4	6.6	1.0	0.0%
	"California"	"06"	"Tulare County, CA"	"06107"	"2015"	"2015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	17	459863	Unreliable	2.2	5.9	0.9	Unreliable	2.5	7.0	1.1	0.0%
	"California"	"06"	"Tuolumne County, CA"	"06109"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	12	53831	Unreliable	11.5	38.9	6.4	Unreliable	7.6	29.1	5.0	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	26	839620	3.1	2.0	4.5	0.6	3.1	2.1	4.6	0.6	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	23	839620	2.7	1.7	4.1	0.6	2.7	1.7	4.1	0.6	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2013"	"2013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	95	839620	11.3	9.2	13.8	1.2	11.1	8.9	13.6	1.2	0.1%
	"California"	"06"	"Ventura County, CA"	"06111"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other opioids"	"T40.2"	11	839620	Unreliable	0.7	2.3	0.4	Unreliable	0.6	2.1	0.4	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2013"	"2013"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	21	839620	2.5	1.5	3.8	0.5	2.3	1.4	3.6	0.5	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Heroin"	"T40.1"	21	846178	2.5	1.5	3.8	0.5	2.5	1.5	3.9	0.6	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other opioids"	"T40.2"	26	846178	3.1	2.0	4.5	0.6	2.9	1.9	4.3	0.6	0.0%
	"California"	"06"	"Ventura County, CA"	"06111"	"2014"	"2014"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	90	846178	10.6	8.6	13.1	1.1	10.4	8.3	12.8	1.1	0.1%
